"id","parent_id","position","name","permalink","taxonomy_id","lft","rgt","icon_file_name","icon_content_type","icon_file_size","icon_updated_at","description","created_at","updated_at","meta_title","meta_description","meta_keywords","depth"
1,,0,"Categories","categories",1,1,148,,,,,,"2016-10-04 17:25:23.765471","2016-10-07 16:34:15.351332",,,,0
2,,0,"Brand","brand",2,149,250,,,,,,"2016-10-04 17:25:23.795369","2016-10-07 16:34:15.351332",,,,0
13,1,0,"Accessories","categories/accessories",1,50,99,,,,,"","2016-10-06 19:49:43.025939","2016-10-06 20:45:42.489884","","","",1
14,13,0,"Belts","categories/accessories/belts",1,51,52,,,,,"","2016-10-06 19:50:21.26254","2016-10-06 20:45:42.489884","","","",2
15,13,0,"Jewelry","categories/accessories/jewelry",1,53,66,,,,,"","2016-10-06 19:50:36.725309","2016-10-06 20:45:42.489884","","","",2
16,15,0,"Necklaces","categories/accessories/jewelry/necklaces",1,54,55,,,,,"","2016-10-06 19:51:03.162009","2016-10-06 20:45:42.489884","","","",3
17,15,0,"Bracelets","categories/accessories/jewelry/bracelets",1,56,57,,,,,"","2016-10-06 19:51:22.175468","2016-10-06 20:45:42.489884","","","",3
18,15,0,"Rings","categories/accessories/jewelry/rings",1,58,59,,,,,"","2016-10-06 19:53:14.685475","2016-10-06 20:45:42.489884","","","",3
19,15,0,"Earrings","categories/accessories/jewelry/earrings",1,60,61,,,,,"","2016-10-06 19:54:18.147834","2016-10-06 20:45:42.489884","","","",3
20,15,0,"Headbands","categories/accessories/jewelry/headbands",1,62,63,,,,,"","2016-10-06 19:55:02.873981","2016-10-06 20:45:42.489884","","","",3
21,15,0,"Anklets","categories/accessories/jewelry/anklets",1,64,65,,,,,"","2016-10-06 19:55:25.21535","2016-10-06 20:45:42.489884","","","",3
22,13,0,"Beauty","categories/accessories/beauty",1,67,68,,,,,"","2016-10-06 19:56:24.702125","2016-10-06 20:45:42.489884","","","",2
23,13,0,"Gift Cards","categories/accessories/gift-cards",1,69,70,,,,,"","2016-10-06 19:56:51.532915","2016-10-06 20:45:42.489884","","","",2
24,13,0,"Gifts","categories/accessories/gifts",1,71,72,,,,,"","2016-10-06 20:01:36.620062","2016-10-06 20:45:42.489884","","","",2
25,13,0,"Hats","categories/accessories/hats",1,73,74,,,,,"","2016-10-06 20:02:12.172324","2016-10-06 20:45:42.489884","","","",2
26,13,0,"Intimates","categories/accessories/intimates",1,75,82,,,,,"","2016-10-06 20:02:33.154798","2016-10-06 20:45:42.489884","","","",2
27,26,0,"Slips","categories/accessories/intimates/slips",1,76,77,,,,,"","2016-10-06 20:02:51.974017","2016-10-06 20:45:42.489884","","","",3
28,26,0,"Tanks And Camis","categories/accessories/intimates/tanks-and-camis",1,78,79,,,,,"","2016-10-06 20:03:54.924474","2016-10-06 20:45:42.489884","","","",3
29,26,0,"Bralettes","categories/accessories/intimates/bralettes",1,80,81,,,,,"","2016-10-06 20:04:51.179485","2016-10-06 20:45:42.489884","","","",3
30,13,0,"Scarves","categories/accessories/scarves",1,83,90,,,,,"","2016-10-06 20:05:19.552167","2016-10-06 20:45:42.489884","","","",2
31,13,0,"Sleepwear","categories/accessories/sleepwear",1,91,92,,,,,"","2016-10-06 20:05:37.82214","2016-10-06 20:45:42.489884","","","",2
32,30,0,"Infinity Scarves","categories/accessories/scarves/infinity-scarves",1,84,85,,,,,"","2016-10-06 20:05:59.868333","2016-10-06 20:45:42.489884","","","",3
33,30,0,"Square Scarves","categories/accessories/scarves/square-scarves",1,86,87,,,,,"","2016-10-06 20:06:31.960045","2016-10-06 20:45:42.489884","","","",3
34,30,0,"Knit Scarves","categories/accessories/scarves/knit-scarves",1,88,89,,,,,"","2016-10-06 20:06:53.01775","2016-10-06 20:45:42.489884","","","",3
35,13,0,"Socks","categories/accessories/socks",1,93,94,,,,,"","2016-10-06 20:07:14.335638","2016-10-06 20:45:42.489884","","","",2
36,13,0,"Sunglasses","categories/accessories/sunglasses",1,95,96,,,,,"","2016-10-06 20:07:28.823804","2016-10-06 20:45:42.489884","","","",2
37,13,0,"Tights","categories/accessories/tights",1,97,98,,,,,"","2016-10-06 20:07:42.359606","2016-10-06 20:45:42.489884","","","",2
38,1,0,"Dresses & Skirts","categories/dresses-and-skirts",1,100,107,,,,,"","2016-10-06 20:09:33.693852","2016-10-06 20:45:42.489884","","","",1
39,38,0,"Dresses","categories/dresses-and-skirts/dresses",1,101,102,,,,,"","2016-10-06 20:09:37.83752","2016-10-06 20:45:42.489884","","","",2
40,38,0,"Jumpsuits & Rompers","categories/dresses-and-skirts/jumpsuits-and-rompers",1,103,104,,,,,"","2016-10-06 20:10:30.106512","2016-10-06 20:45:42.489884","","","",2
