_id|attr1id|attr1list|attr2id|vendor|of8|color|dept|description|largepicture|price|title|overallqoh|quantityonhandsum|sale|sizelist|style|SHIPPINGSURCHARGE|TOPSELLER|JUSTIN|MEGANPICK|FINDS|SHOECHARGE|exclusive
41|8399|Ivory,Black|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|11809-DEFAULT-l.jpg|20|Galloon Lace Halter|474|NULL|N|XS,S,M,L|F763O915|0|Y|NULL|N|Y|NULL|N
47|8399|Ivory,Black|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|11809-DEFAULT-l.jpg|20|Galloon Lace Halter|422|NULL|N|XS,S,M,L|F763O915|0|Y|NULL|N|Y|NULL|N
132|12352|Pink,Black,Ivory,Red,Grey,Pink|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|15831-DEFAULT-l.jpg|20|Galloon Lace Racerback|3659|NULL|N|XS,S,M,L,XL|F040O835|0|Y|NULL|N|Y|NULL|N
140|12352|Pink,Black,Ivory,Red,Grey,Pink|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|15831-DEFAULT-l.jpg|20|Galloon Lace Racerback|3425|NULL|N|XS,S,M,L,XL|F040O835|0|Y|NULL|N|Y|NULL|N
148|12352|Pink,Black,Ivory,Red,Grey,Pink|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|15831-DEFAULT-l.jpg|20|Galloon Lace Racerback|1345|NULL|N|XS,S,M,L,XL|F040O835|0|Y|NULL|N|Y|NULL|N
151|10630|Blue|NULL|AG|NULL|NULL|TOPS|NULL|18829-DEFAULT-l.jpg|188|Robyn Denim Jacket|302|NULL|N|S,M,L,XS|SPD4087-T|0|Y|NULL|N|N|NULL|N
152|10630|Blue|NULL|AG|NULL|NULL|TOPS|NULL|18829-DEFAULT-l.jpg|188|Robyn Denim Jacket|302|NULL|N|S,M,L,XS|SPD4087-T|0|Y|NULL|N|N|NULL|N
157|10630|Blue|NULL|AG|NULL|NULL|TOPS|NULL|18829-DEFAULT-l.jpg|188|Robyn Denim Jacket|118|NULL|N|S,M,L,XS|SPD4087-T|0|Y|NULL|N|N|NULL|N
158|10630|Blue|NULL|AG|NULL|NULL|TOPS|NULL|18829-DEFAULT-l.jpg|188|Robyn Denim Jacket|118|NULL|N|S,M,L,XS|SPD4087-T|0|Y|NULL|N|N|NULL|N
163|10630|Blue|NULL|AG|NULL|NULL|TOPS|NULL|18829-DEFAULT-l.jpg|188|Robyn Denim Jacket|50|NULL|N|S,M,L,XS|SPD4087-T|0|Y|NULL|N|N|NULL|N
164|10630|Blue|NULL|AG|NULL|NULL|TOPS|NULL|18829-DEFAULT-l.jpg|188|Robyn Denim Jacket|50|NULL|N|S,M,L,XS|SPD4087-T|0|Y|NULL|N|N|NULL|N
