id,attri1id,brand,of8,dept,depttree,inventorytype,largepicture,listprice,name,overallqoh,pictureID,pricerange,prodreviewsaverage,sale,salepricerangebottom,sizelist,smallpicture,style,url,googleproducttaxonomy,shippingsurcharge,topseller,hexlist,tinypicture,justin,meganpick,finds,shoecharge,exclusive
15535,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,115,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15534,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,115,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15531,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,135,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15530,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,135,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15527,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,102,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15526,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,102,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15523,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,60,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15522,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,60,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15519,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,81,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15518,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,81,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
